seller_id,seller_name,onboarding_date,product_category,city,state,account_status
SELL018,ReadMore NG,2023-04-08,Home and Garden,Port Harcourt,Rivers,Active
SELL014,HomeEssentials NG,2022-03-09,Sports and Fitness,Kano,Kano,Active
SELL019,ActiveWear NG,2024-04-26,Sports and Fitness,Lagos,Lagos,Active
SELL007,BookWorld Nigeria,2022-02-05,Sports and Fitness,Ibadan,Oyo,Active
SELL002,FashionVault NG,2023-02-04,Food and Beverages,Port Harcourt,Rivers,Active
SELL086,KnowledgeHub NG,2023-03-04,Food and Beverages,Lagos,Lagos,Active
SELL006,FoodBasket NG,2023-01-12,Food and Beverages,Lagos,Lagos,Active
SELL005,SportsPro Nigeria,2023-05-02,Beauty and Personal Care,Lagos,Lagos,Active
SELL043,HomePlus NG,2022-04-29,Beauty and Personal Care,Kano,Kano,Active
SELL060,AllFashion NG,2023-05-03,Beauty and Personal Care,Abuja,FCT,Active
SELL074,TrendHub NG,2023-11-05,Beauty and Personal Care,Abuja,FCT,Active
SELL084,GlowBar NG,2023-06-10,Beauty and Personal Care,Abuja,FCT,Active
SELL008,QuickTech NG,2022-11-13,Beauty and Personal Care,Lagos,Lagos,Active
SELL010,NaturalGlow NG,2022-09-19,Beauty and Personal Care,Ibadan,Oyo,Active
SELL004,GlowBeauty Shop,2023-08-27,Books and Stationery,Abuja,FCT,Active
SELL013,KidsWorld NG,2022-12-07,Books and Stationery,Kano,Kano,Active
SELL015,GadgetKing NG,2022-02-23,Books and Stationery,Kano,Kano,Active
SELL020,TasteOfNigeria,2022-07-06,Home and Garden,Lagos,Lagos,Active
SELL029,GardenPlus NG,2022-08-30,Home and Garden,Lagos,Lagos,Active
SELL033,EcoHome NG,2023-04-28,Fashion,Lagos,Lagos,Active
SELL050,SportsGear NG,2024-05-07,Electronics,Lagos,Lagos,Active
SELL063,PureSkin NG,2023-05-23,Fashion,Kano,Kano,Active
SELL068,EarthHome NG,2024-02-27,Electronics,Lagos,Lagos,Active
SELL076,SportNation NG,2022-01-15,Fashion,Lagos,Lagos,Active
SELL012,FreshFarm NG,2024-04-22,Electronics,Lagos,Lagos,Active
SELL017,OrganicLife NG,2022-06-11,Electronics,Abuja,FCT,Active
SELL021,SmartGadgets NG,2023-07-26,Electronics,Lagos,Lagos,Active
SELL037,EduBooks NG,2022-11-17,Electronics,Lagos,Lagos,Suspended
SELL052,TechZone NG,2023-11-03,Electronics,Lagos,Lagos,Active
SELL064,Naija Grains,2024-03-31,Electronics,Abuja,FCT,Active
SELL011,FitLife Nigeria,2023-03-26,Fashion,Lagos,Lagos,Active
SELL016,TrendyFash,2022-01-04,Fashion,Port Harcourt,Rivers,Active
SELL022,UrbanStyle NG,2022-09-26,Fashion,Ibadan,Oyo,Active
SELL040,AfricanFoods NG,2022-11-20,Fashion,Abuja,FCT,Active
SELL042,StreetStyle NG,2022-07-07,Fashion,Lagos,Lagos,Suspended
SELL046,LocalFarm NG,2024-05-04,Fashion,Port Harcourt,Rivers,Active
SELL048,MaxGadget NG,2023-03-03,Fashion,Port Harcourt,Rivers,Active
SELL069,SweatZone NG,2024-03-16,Fashion,Kano,Kano,Active
SELL023,CleanHome NG,2023-09-07,Beauty and Personal Care,Abuja,FCT,Active
SELL030,WellnessHub NG,2023-04-15,Food and Beverages,Abuja,FCT,Active
SELL073,SmartShop NG,2023-02-09,Electronics,Abuja,FCT,Active
SELL003,GreenHome Stores,2022-06-29,Electronics,Lagos,Lagos,Active
SELL080,UltraTech NG,2024-01-27,Fashion,Lagos,Lagos,Active
SELL001,TechHub Nigeria,2023-09-07,Fashion,Port Harcourt,Rivers,Active
SELL026,HealthyEats NG,2024-03-11,Books and Stationery,Ibadan,Oyo,Active
SELL032,ChicStyle NG,2022-03-16,Home and Garden,Kano,Kano,Active
